Carrier,Manufacture,Model,Release_Date,Bulletin_Level,difference,Android_Level_Guessed,build
AT&T,Samsung,Galaxy Note 4,2017-03-27,2017-03-01,26.0,False,N910AUCS2EQD1 MMB29M.N910AUCS2EQD1 nan
AT&T,Samsung,Galaxy Note Edge,2017-03-27,2017-03-01,26.0,False,N915AUCS2DQD1 MMB29M.N915AUCS2DQD1 nan
AT&T,Samsung,Galaxy S6 edge,2017-03-27,2017-03-01,26.0,False,G925AUCU6EQCF NRD90M.G925AUCU6EQCF nan
AT&T,ZTE,ZTE Maven 2,2017-03-27,2017-03-01,26.0,False,Z831H01 Z831V1.0.0B30 nan
AT&T,Samsung,Galaxy S7 edge,2017-03-27,2017-03-01,26.0,False,G935AUCU4BQD4 NRD90M.G935AUCU4BQD4 nan
AT&T,Samsung,Galaxy Express 3,2017-03-28,2017-03-01,27.0,False,J120AUCS3AQE1 MMB29K.J120AUCS3AQE1 nan
AT&T,Samsung,Galaxy Express prime,2017-03-28,2017-03-01,27.0,False,J320AUCU2AQI5 NMF26X.J320AUCU3BQI5 nan
AT&T,Samsung,Galaxy J3 (2016),2017-03-28,2017-03-01,27.0,False,J320AUCS3AQG1 MMB29K.J320AUCS3AQG1 nan
AT&T,Samsung,Galaxy S6,2017-03-30,2017-03-01,29.0,False,G920AUCU6EQCF NRD90M.G920AUCU6EQCF nan
AT&T,Samsung,Galaxy J7 (2018),2017-03-31,2017-03-01,30.0,True,nan PPR1.180610.011.J737AUCU6BTA3File nan
AT&T,Samsung,Galaxy S6 active,2017-04-05,2017-03-01,35.0,False,G890AUCU6DQE1 NRD90M.G890AUCS6DQE1 nan
AT&T,Motorola,Motorola Moto e,2017-04-07,2017-03-01,37.0,True,nan LPI23.29 nan
AT&T,Samsung,Galaxy S6 edge+,2017-04-11,2017-03-01,41.0,False,G928AUCS4EQE1 NRD90M.G928AUCS4EQE1 nan
AT&T,Samsung,Galaxy Note 5,2017-04-11,2017-03-01,41.0,False,N920AUCS4EQE1 NRD90M.N920AUCS4EQE1 nan
AT&T,LG,LG V20,2017-04-14,2017-04-01,13.0,False,MPSS.TH.2.0.1.c3-00045-M8996FAAAANAZM-1 NRD90M H91010u
AT&T,Samsung,Galaxy J3 (2017),2017-04-18,2017-04-01,17.0,False,J327AUCU1AQC2 nan nan
AT&T,Samsung,Galaxy Express Prime 2,2017-04-18,2017-04-01,17.0,False,J327AUCU1AQC2 nan nan
AT&T,Kyocera,Kyocera DuraForce PRO 2,2017-04-20,2017-03-05,46.0,False,nan nan 1.250AT
AT&T,nan,Galaxy S8,2017-04-21,2017-04-01,20.0,nan,nan nan nan
AT&T,nan,Galaxy S8+,2017-04-21,2017-04-01,20.0,nan,nan nan nan
AT&T,Samsung,Galaxy Note Edge,2017-04-26,2017-04-01,25.0,False,N915AUCS2DQE1 MMB29M.N915AUCS2DQE1 nan
AT&T,Alcatel,Alcatel ONETOUCH ALLURA,2017-04-26,2017-04-01,25.0,True,MSM8909.LA.1.1.c7.1-113370123 HBAUAA4 nan
AT&T,Samsung,Galaxy Note 4,2017-04-26,2017-04-01,25.0,False,N910AUCS2EQE1 MMB29M.N910AUCS2EQE1 nan
AT&T,nan,LG G6 (H871,2017-04-27,2017-04-01,26.0,nan,nan nan nan
AT&T,nan,LG  H871S),2017-04-27,2017-04-01,26.0,nan,nan nan nan
AT&T,Samsung,Galaxy S6 edge+,2017-04-27,2017-04-01,26.0,False,G928AUCS4EQF1 NRD90M.G928AUCS4EQF1 nan
AT&T,Samsung,Galaxy Note 5,2017-04-27,2017-04-01,26.0,False,N920AUCS4EQF1 NRD90M.N920AUCS4EQF1 nan
AT&T,Samsung,Galaxy S6 active,2017-05-03,2017-04-01,32.0,False,G890AUCU6DQF1 NRD90M.G890AUCS6DQF1 nan
AT&T,Samsung,Galaxy S6 edge,2017-05-03,2017-04-01,32.0,False,G925AUCS6EQE1 NRD90M.G925AUCS6EQE1 nan
AT&T,Samsung,Galaxy S6,2017-05-03,2017-04-01,32.0,False,G920AUCS6EQE1 NRD90M.G920AUCS6EQE1 nan
AT&T,Samsung,Galaxy S7 edge,2017-05-10,2017-04-01,39.0,False,G935AUCS4BQE1 7.0/NRD90M/G935AUCS4BQE1 nan
AT&T,Samsung,Galaxy Note Edge,2017-05-22,2017-05-01,21.0,False,N915AUCS2DQF1 MMB29M.N915AUCS2DQF1 nan
AT&T,Samsung,Galaxy Note 4,2017-05-22,2017-05-01,21.0,False,N910AUCS2EQF1 MMB29M.N910AUCS2EQF1 nan
AT&T,Samsung,Galaxy S7 edge,2017-05-23,2017-05-01,22.0,False,G935AUCU4BQF3 NRD90M.G935AUCU4BQF3 nan
AT&T,Samsung,Galaxy S6 edge+,2017-05-25,2017-05-01,24.0,False,G928AUCS4EQG1 NRD90M.G928AUCS4EQG1 nan
AT&T,Samsung,Galaxy S6,2017-05-25,2017-05-01,24.0,False,G920AUCS6EQF1 NRD90M.G920AUCS6EQF1 nan
AT&T,Samsung,Galaxy Note 5,2017-05-25,2017-05-01,24.0,False,N920AUCS4EQG1 NRD90M.N920AUCS4EQG1 nan
AT&T,Samsung,Galaxy S6 edge,2017-05-25,2017-05-01,24.0,False,G925AUCS6EQF1 NRD90M.G925AUCS6EQF1 nan
AT&T,Samsung,Galaxy S6 active,2017-05-26,2017-05-01,25.0,False,G890AUCU6DQG1 NRD90M.G890AUCS6DQG1 nan
AT&T,LG,LG G5,2017-05-31,2017-04-01,60.0,False,MPSS.TH.2.0.c1.4-00041-M8996FAAAANAZM-1.104781.1.109835.1a NRD90U H82020p
AT&T,Samsung,Galaxy Express 3,2017-06-08,2017-05-01,38.0,False,J120AUCS4AQJ2 MMB29K.J120AUCS4AQJ2 nan
AT&T,nan,Galaxy S8+,2017-06-13,2017-05-01,43.0,nan,nan nan nan
AT&T,nan,Galaxy S8,2017-06-13,2017-05-01,43.0,nan,nan nan nan
AT&T,ZTE,ZTE Maven,2017-06-19,2017-06-01,18.0,False,Z812H01 Z812V1.0.0B27 nan
AT&T,LG,LG Phoenix 3,2017-06-20,2017-06-01,19.0,False,MPSS.JO.2.0.c1.2-00020-8909_GEN_PACK-1.92496.1 NRD90U M15020d
AT&T,LG,LG Phoenix 3,2017-06-20,2017-04-01,80.0,False,MPSS.JO.2.0.c1.2-00020-8909_GEN_PACK-1.92496.1.104247.1 NRD90U M15020e
AT&T,Samsung,Galaxy Note 4,2017-06-20,2017-06-01,19.0,False,N910AUCS2EQG1 MMB29M.N910AUCS2EQG1 nan
AT&T,Samsung,Galaxy Note Edge,2017-06-20,2017-06-01,19.0,False,N915AUCS2DQG1 MMB29M.N915AUCS2DQG1 nan
AT&T,LG,LG K10,2017-06-21,2017-04-01,81.0,False,MPSS.JO.2.0.c1.2-00020-8909_GEN_PACK-1.90266.1.93441.1.106743.1 NRD90U K42520g
AT&T,nan,Galaxy S8+,2017-06-22,2017-06-01,21.0,nan,nan nan nan
AT&T,nan,Galaxy S8,2017-06-22,2017-06-01,21.0,nan,nan nan nan
AT&T,Samsung,Galaxy S6,2017-06-23,2017-06-01,22.0,False,G920AUCS6EQG1 NRD90M.G920AUCS6EQG1 nan
AT&T,Samsung,Galaxy S6 active,2017-06-23,2017-06-01,22.0,False,G890AUCS6DQH1 NRD90M.G890AUCS6DQH1 nan
AT&T,Samsung,Galaxy S6 edge,2017-06-23,2017-06-01,22.0,False,G925AUCS6EQG1 NRD90M.G925AUCS6EQG1 nan
AT&T,Samsung,Galaxy S6 edge+,2017-06-27,2017-06-01,26.0,False,G928AUCS4EQH1 NRD90M.G928AUCS4EQH1 nan
AT&T,Samsung,Galaxy Note 5,2017-06-27,2017-06-01,26.0,False,N920AUCS4EQH1 NRD90M.N920AUCS4EQH1 nan
AT&T,Samsung,Galaxy S7 edge,2017-07-06,2017-06-01,35.0,False,G935AUCU4BQG1 NRD90M.G935AUCU4BQG1 nan
AT&T,nan,Galaxy S8,2017-07-20,2017-07-01,19.0,nan,nan nan nan
AT&T,nan,Galaxy S8+,2017-07-20,2017-07-01,19.0,nan,nan nan nan
AT&T,Samsung,Galaxy S4,2017-07-21,2017-07-01,20.0,True,nan LRX22C.I337UCSGOK3File 3.4.0
AT&T,Samsung,Galaxy J3 (2016),2017-07-21,2017-07-01,20.0,False,J320AUCU2AQI5 NMF26X.J320AUCU3BQI5 nan
AT&T,Samsung,Galaxy Note II,2017-07-21,2017-07-01,20.0,True,nan KOT49H.I317UCSCNJ5File 3.0.31
AT&T,Samsung,Galaxy S5 Active,2017-07-21,2017-07-01,20.0,True,nan MMB29M.G870AUCS2DQD1Previous 3.4.0
AT&T,LG,LG G5,2017-07-21,2017-06-01,50.0,False,MPSS.TH.2.0.c1.4-00041-M8996FAAAANAZM-1.104781.1.109835.1a NRD90U H82020q
AT&T,Samsung,Galaxy S6 edge,2017-07-25,2017-07-01,24.0,False,G925AUCS6EQH1 NRD90M.G925AUCS6EQH1 nan
AT&T,Samsung,Galaxy S6,2017-07-25,2017-07-01,24.0,False,G920AUCS6EQH1 NRD90M.G920AUCS6EQH1 nan
AT&T,Samsung,Galaxy S6 active,2017-07-27,2017-07-01,26.0,False,G890AUCS6DQJ1 NRD90M.G890AUCS6DQJ1 nan
AT&T,Samsung,Galaxy Note 5,2017-07-31,2017-07-01,30.0,False,N920AUCS4EQJ1 NRD90M.N920AUCS4EQJ1 nan
AT&T,Samsung,Galaxy S6 edge+,2017-07-31,2017-07-01,30.0,False,G928AUCS4EQJ1 NRD90M.G928AUCS4EQJ1 nan
AT&T,ZTE,ZTE Maven 2,2017-08-01,2017-06-01,61.0,False,Z831H01 Z831V1.0.0B31 nan
AT&T,Samsung,Galaxy S7 edge,2017-08-08,2017-07-01,38.0,False,G935AUCS4BQH1 NRD90M.G935AUCS4BQH1 nan
