Carrier,Manufacture,Model,Release_Date,Bulletin_Level,difference,Android_Level_Guessed,build,Year_Phone_Release,Month_Phone_Release,checker
Verizon,Google,Pixel 3a,2019-12-02,2019-12-01,1,False,,2019,5,01
Verizon,Google,Pixel 3a XL,2019-09-03,2019-09-01,2,, QP1A.190711.020 QP1A.190711.020,2019,5,01
Verizon,Google,Pixel 3a XL,2019-10-07,2019-10-01,6,False,,2019,5,01
Verizon,Google,Pixel 3a XL,2019-11-04,2019-11-01,3,False,,2019,5,01
Verizon,Google,Pixel 3a XL,2019-12-02,2019-12-01,1,False,,2019,5,01
Verizon,Google,Pixel 4,2019-10-21,2019-10-01,20,False,,2019,10,01
Verizon,Google,Pixel 4,2019-11-04,2019-11-01,3,False,,2019,10,01
Verizon,Google,Pixel 4,2019-12-09,2019-12-01,8,False,,2019,10,01
Verizon,Google,Pixel 4 XL,2019-10-21,2019-10-01,20,False,,2019,10,01
Verizon,Google,Pixel 4 XL,2019-11-04,2019-11-01,3,False,,2019,10,01
Verizon,Google,Pixel 4 XL,2019-12-09,2019-12-01,8,False,,2019,10,01
Verizon,Google,Pixel XL,2019-03-04,2019-03-01,3,False,,2016,10,05
Verizon,Google,Pixel XL,2019-04-01,2019-04-01,0,False,,2016,10,05
Verizon,Google,Pixel XL,2019-05-06,2019-05-01,5,False,,2016,10,01
Verizon,Google,Pixel XL,2019-09-03,2019-09-01,2,False,,2016,10,01
Verizon,Google,Pixel XL,2019-10-07,2019-10-01,6,False,,2016,10,01
Verizon,Google,Pixel XL,2019-12-02,2019-12-01,1,False,,2016,10,01
Verizon,HTC,10,2017-12-15,2017-11-01,44,False,,2016,4,01
Verizon,HTC,10,2017-12-15,2017-12-01,14,, 2.41.605.36 2.41.605.36,2016,4,01
Verizon,HTC,10,2018-04-12,2018-01-01,101,False,,2016,4,01
Verizon,HTC,Desire 526,2017-09-06,2017-07-01,67,False,,2015,8,01
Verizon,HTC,Desire 526,2017-09-06,2017-09-01,5,, 0.10.C113251011@50613 0.10.C113251011@50613,2015,8,01
Verizon,HTC,Desire 530,2017-09-29,2017-08-01,59,False,,2016,3,01
Verizon,HTC,Desire 626,2017-05-15,2017-05-01,14,False,,2015,3,01
Verizon,HTC,HTC One,2015-12-15,2015-12-01,14,True,,2013,3,01
Verizon,HTC,One M8,2016-03-07,2016-03-01,6,True,,2014,3,07
Verizon,HTC,One M9,2018-01-19,2017-11-01,79,False,,2015,3,01
Verizon,KYOCERA,DuraForce PRO 2,2019-06-18,2019-04-01,78,, 3.516VZ 3.516VZ,2018,11,01
Verizon,KYOCERA,DuraForce PRO 2,2019-07-22,2019-06-01,51,, 3.605VZ 3.605VZ,2018,11,01
Verizon,KYOCERA,DuraForce PRO 2,2019-08-26,2019-08-01,25,, 3.708VZ 3.708VZ,2018,11,01
Verizon,Kyocera,Cadence,2018-03-02,2018-03-01,1,, 1.420VZ 1.420VZ,2017,9,01
Verizon,Kyocera,DuraForce PRO 2,2019-02-01,2019-01-01,31,False,,2018,11,01
Verizon,Kyocera,DuraForce PRO 2,2019-03-18,2019-02-01,45,False,,2018,11,01
Verizon,Kyocera,DuraForce PRO 2,2019-04-29,2019-04-01,28,False,,2018,11,01
Verizon,Kyocera,DuraForce PRO 2,2019-08-26,2019-08-01,25,False,,2018,11,01
Verizon,Kyocera,DuraForce PRO 2,2019-10-28,2019-09-01,57,False,,2018,11,01
Verizon,Kyocera,DuraForce PRO 2,2019-11-25,2019-11-01,24,False,,2018,11,01
Verizon,Kyocera,DuraForce PRO with Sapphire Shield,2018-06-14,2018-05-01,44,False,,2016,9,01
Verizon,Kyocera,DuraForce PRO with Sapphire Shield,2018-08-15,2018-08-01,14,True,,2016,9,01
Verizon,Kyocera,DuraForce PRO with Sapphire Shield,2018-12-04,2018-11-01,33,False,,2016,9,01
Verizon,Kyocera,DuraForce PRO with Sapphire Shield,2018-12-04,2018-12-01,3,, 5.572VZ 5.572VZ,2016,9,01
Verizon,Kyocera,LTE,2019-12-09,2019-12-01,8,False,,2017,9,01
Verizon,LG,Exalt LTE,2018-12-17,2018-12-01,16,True,,2017,6,03
Verizon,LG,Exalt LTE,2019-04-05,2019-04-01,4,True,,2017,6,01
Verizon,LG,G Pad 10.1,2017-05-30,2017-05-01,29,True,,2014,5,01
Verizon,LG,G Pad 10.1 LTE,2017-05-30,2017-05-01,29,False,,2014,7,01
Verizon,LG,G Pad 7.0,2017-05-03,2017-05-01,2,True,,2014,6,01
Verizon,LG,G Pad 7.0 LTE,2017-05-03,2017-05-01,2,False,,2014,8,01
Verizon,LG,G Pad 8.3,2017-03-30,2017-03-01,29,True,,2013,10,01
Verizon,LG,G Pad 8.3 LTE,2017-03-30,2017-03-01,29,False,,2014,3,07
Verizon,LG,G Pad X8.3,2017-03-08,2017-03-01,7,False,,2015,5,05
