phone_model,carrier,android_os,carrier_release,security_patch,difference,Locked
Galaxy S9,Verizon,8.0.0,2019-01-14,2018-12-01,44,False
Galaxy S9,Verizon,8.0.0,2018-12-07,2018-11-01,36,False
Galaxy S9,Verizon,8.0.0,2018-11-20,2018-11-01,19,False
Galaxy S9,Verizon,8.0.0,2018-10-29,2018-10-01,28,False
Galaxy S9,Verizon,8.0.0,2018-09-27,2018-09-01,26,False
Galaxy S9,Verizon,8.0.0,2018-09-17,2018-08-01,47,False
Galaxy A50,AT&T,9,2020-01-06,2020-01-01,5,False
Galaxy A50,AT&T,9,2019-12-03,2019-12-01,2,False
Galaxy A50,AT&T,9,2019-11-04,2019-11-01,3,False
Galaxy A50,AT&T,9,2019-10-31,2019-10-01,30,False
Galaxy A50,AT&T,9,2019-10-09,2019-10-01,8,False
Galaxy S10+,Sprint,10,2020-01-09,2020-01-01,8,True
Galaxy S10+,Sprint,10,2019-12-16,2019-12-01,15,True
Galaxy S10+,Sprint,9,2019-11-01,2019-11-01,0,True
Galaxy S10+,Sprint,9,2019-10-21,2019-10-01,20,True
Galaxy S10+,Sprint,9,2019-09-30,2019-09-01,29,True
Galaxy S10+,Sprint,9,2019-08-26,2019-08-01,25,True
Galaxy S10+,Sprint,9,2019-07-29,2019-06-01,58,True
Galaxy S10+,Sprint,9,2019-05-17,2019-05-01,16,True
