Manufacture,Device Model,Released Date,Released OS,Current Supported OS,Reference Source,Android One
Motorola,Moto E3,2016/07,Android 6.0 (Marshmallow),Android 6.0 (Marshmallow),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-20,0
Motorola,Moto E4,2017/06,Android 7.0 (Nougat),Android 7.1.1 (Nougat),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-21,0
Motorola,Moto E5,2018/05,Android 8.0 (Oreo),Android 8.0 (Oreo),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-22,0
Motorola,Moto E (1st generation),2014/05,Android 4.4 (KitKat),Android 5.1 (Lollipop),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-23,0
Motorola,Moto E (2nd generation),2015/02,Android 5.0 (Lollipop),Android 6.0 (Marshmallow),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-24,0
Motorola,Moto G4,2016/05,Android 6.0 (Marshmallow),Android 7.0 (Nougat),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-25,0
Motorola,Moto G5,2017/03,Android 7.0 (Nougat),Android 8.1 (Oreo),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-26,0
Motorola,Moto G6,2018/05,Android 8.0 (Oreo),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-27,0
Motorola,Moto G (1st generation),2013/11,Android 4.3.1 (Jelly Bean),Android 5.1.1 (Lollipop),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-28,0
Motorola,Moto G (2nd generation),2014/09,Android 4.4 (KitKat),Android 6.0 (Marshmallow),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-29,0
Motorola,Moto G (3rd generation),2015/07,Android 5.0 (Lollipop),Android 6.0 (Marshmallow),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-30,0
Motorola,Moto X4,2017/09,Android 7.0 (Nougat),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-31,0
Motorola,Moto X (1st generation),2013/08,Android 4.3.1 (Jelly Bean),Android 5.1 (Lollipop),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-32,0
Motorola,Moto X (2nd generation),2014/09,Android 6.0 (Marshmallow),Android 6.0 (Marshmallow),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-33,0
Motorola,Moto X Play,2015/07,Android 5.1.1 (Lollipop),Android 7.1.1 (Nougat),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-34,0
Motorola,Moto X Style,2015/09,Android 5.1.1 (Lollipop),Android 7.0 (Nougat),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-35,0
Motorola,Moto Z,2016/09,Android 6.0 (Marshmallow),Android 8.0 (Oreo),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-36,0
Motorola,Moto Z Play,2016/09,Android 6.0 (Marshmallow),Android 8.0 (Oreo),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-37,0
Motorola,Moto Z (2) Force,2017/08,Android 7.0 (Nougat),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-38,0
Motorola,Moto Z (2) Play,2017/06,Android 7.0 (Nougat),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-39,0
Microsoft Mobile,Nokia X2,2014/06,Android 4.3 (Jelly Bean),Android 4.3 (Jelly Bean),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-50,0
LG/Google,Nexus 4,2012/11,Android 4.2 (Jelly Bean),Android 5.1 (Lollipop),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-44,0
LG/Google,Nexus 5,2013/10,Android 4.0 (Ice Cream Sandwich),Android 6.0 (Marshmallow),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-45,0
LG/Google,Nexus 5X,2015/09,Android 6.0 (Marshmallow),Android 8.0 (Oreo),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-47,0
LG,G2,2013/09,Android 4.3.1 (Jelly Bean),Android 5.0.2 (Lollipop),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-7,0
LG,G3,2014/05,Android 4.4 (KitKat),Android 6.0 (Marshmallow),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-8,0
LG,G4,2015/04,Android 5.0 (Lollipop),Android 7.0 (Nougat),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-9,0
LG,G5,2016/04,Android 6.0.1 (Marshmallow),Android 8.0 (Oreo),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-10,0
LG,G6,2017/03,Android 7.0 (Nougat),Android 8.0 (Oreo),https://www.gsmarena.com/lg_g6-8466.php,0
LG,LG G7 ThinQ,2018/05,Android 8.0 (Oreo),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-12,0
LG,LG Optimus G,2013/01,Android 4.0 (Ice Cream Sandwich),4.1.2 (Jelly Bean),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-13,0
LG,V10,2015/10,Android 5.0 (Lollipop),Android 7.0 (Nougat),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-14,0
LG,V20,2016/10,Android 7.0 (Nougat),Android 8.0 (Oreo),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-15,0
LG,V30,2017/9,Android 7.1.2 (Nougat),Android 8.0 (Oreo),https://www.cnet.com/reviews/lg-v30-preview/,0
LG,V35 ThinQ,2018/06,Android 8.0 (Oreo),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-17,0
LG,V40 ThinQ,2018/10,Android 8.1 (Oreo),Android 8.1 (Oreo),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-18,0
